"filename", "language", "Python", "HTML", "JSON", "pip requirements", "CSV", "Markdown", "comment", "blank", "total"
"e:\study\fourNext\CapstoneProject\textClassification\app.py", "Python", 59, 0, 0, 0, 0, 0, 13, 17, 89
"e:\study\fourNext\CapstoneProject\textClassification\data\24hours.py", "Python", 30, 0, 0, 0, 0, 0, 0, 13, 43
"e:\study\fourNext\CapstoneProject\textClassification\data\24hours2.py", "Python", 31, 0, 0, 0, 0, 0, 1, 13, 45
"e:\study\fourNext\CapstoneProject\textClassification\data\article\output\original - 副本.md", "Markdown", 0, 0, 0, 0, 0, 211, 0, 132, 343
"e:\study\fourNext\CapstoneProject\textClassification\data\article\output\original.html", "HTML", 0, 781, 0, 0, 0, 0, 0, 23, 804
"e:\study\fourNext\CapstoneProject\textClassification\data\article\output\original.md", "Markdown", 0, 0, 0, 0, 0, 211, 0, 132, 343
"e:\study\fourNext\CapstoneProject\textClassification\data\article\trans2md.py", "Python", 112, 0, 0, 0, 0, 0, 20, 35, 167
"e:\study\fourNext\CapstoneProject\textClassification\data\augmented\QWEN25augmented_sample_merged_data_cleaned.csv", "CSV", 0, 0, 0, 0, 535, 0, 0, 1, 536
"e:\study\fourNext\CapstoneProject\textClassification\data\augmented\QWEN3_augmented_data_sample.csv", "CSV", 0, 0, 0, 0, 57, 0, 0, 37, 94
"e:\study\fourNext\CapstoneProject\textClassification\data\augmented\opus_back_translated_sample.csv", "CSV", 0, 0, 0, 0, 11, 0, 0, 1, 12
"e:\study\fourNext\CapstoneProject\textClassification\data\augmented\test_augmented.csv", "CSV", 0, 0, 0, 0, 6, 0, 0, 1, 7
"e:\study\fourNext\CapstoneProject\textClassification\data\early_hours.py", "Python", 32, 0, 0, 0, 0, 0, 2, 14, 48
"e:\study\fourNext\CapstoneProject\textClassification\data\merged_data_cleaned.csv", "CSV", 0, 0, 0, 0, 15377, 0, 0, 1, 15378
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data0319-0419.csv", "CSV", 0, 0, 0, 0, 3643, 0, 0, 1, 3644
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data0319-0419_with_gov_class.csv", "CSV", 0, 0, 0, 0, 3643, 0, 0, 1, 3644
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data0420-0518.csv", "CSV", 0, 0, 0, 0, 3842, 0, 0, 0, 3842
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data0420-0518_with_gov_class.csv", "CSV", 0, 0, 0, 0, 3842, 0, 0, 1, 3843
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data0519-0618.csv", "CSV", 0, 0, 0, 0, 4332, 0, 0, 1, 4333
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data0519-0618_with_gov_class.csv", "CSV", 0, 0, 0, 0, 4332, 0, 0, 1, 4333
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data0819-0918-confusing.csv", "CSV", 0, 0, 0, 0, 3604, 0, 0, 1, 3605
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data0819-0918-final.csv", "CSV", 0, 0, 0, 0, 3563, 0, 0, 1, 3564
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data0819-0918-校正-cleaned.csv", "CSV", 0, 0, 0, 0, 375, 0, 0, 1, 376
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data0819-0918-校正.csv", "CSV", 0, 0, 0, 0, 375, 0, 0, 1, 376
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\data_process\clean.ipynb", "JSON", 0, 0, 658, 0, 0, 0, 0, 1, 659
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\major_content.csv", "CSV", 0, 0, 0, 0, 15377, 0, 0, 1, 15378
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\merged_data.csv", "CSV", 0, 0, 0, 0, 15377, 0, 0, 1, 15378
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\raw_data_backup\data0319-0419.csv", "CSV", 0, 0, 0, 0, 3643, 0, 0, 1, 3644
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\raw_data_backup\data0420-0518.csv", "CSV", 0, 0, 0, 0, 3842, 0, 0, 0, 3842
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\raw_data_backup\data0519-0618.csv", "CSV", 0, 0, 0, 0, 4347, 0, 0, 1, 4348
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\raw_data_backup\data0819-0918-confusing.csv", "CSV", 0, 0, 0, 0, 3611, 0, 0, 1, 3612
"e:\study\fourNext\CapstoneProject\textClassification\data\raw_data\raw_data_backup\data0819-0918-校正.csv", "CSV", 0, 0, 0, 0, 375, 0, 0, 1, 376
"e:\study\fourNext\CapstoneProject\textClassification\data\sample.csv", "CSV", 0, 0, 0, 0, 14, 0, 0, 1, 15
"e:\study\fourNext\CapstoneProject\textClassification\data\test_samples.csv", "CSV", 0, 0, 0, 0, 6, 0, 0, 1, 7
"e:\study\fourNext\CapstoneProject\textClassification\data\unique.py", "Python", 6, 0, 0, 0, 0, 0, 1, 2, 9
"e:\study\fourNext\CapstoneProject\textClassification\data\unique_question_categories.csv", "CSV", 0, 0, 0, 0, 352, 0, 0, 0, 352
"e:\study\fourNext\CapstoneProject\textClassification\data\verification.csv", "CSV", 0, 0, 0, 0, 2, 0, 0, 1, 3
"e:\study\fourNext\CapstoneProject\textClassification\eval.py", "Python", 247, 0, 0, 0, 0, 0, 22, 58, 327
"e:\study\fourNext\CapstoneProject\textClassification\eval_baseline.py", "Python", 187, 0, 0, 0, 0, 0, 22, 44, 253
"e:\study\fourNext\CapstoneProject\textClassification\models\baseline_classifier.py", "Python", 35, 0, 0, 0, 0, 0, 10, 10, 55
"e:\study\fourNext\CapstoneProject\textClassification\models\chinese_simbert_L-12_H-768_A-12\bert_config.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 1, 20
"e:\study\fourNext\CapstoneProject\textClassification\models\hierarchical_classifier.py", "Python", 54, 0, 0, 0, 0, 0, 0, 13, 67
"e:\study\fourNext\CapstoneProject\textClassification\other\NER.py", "Python", 39, 0, 0, 0, 0, 0, 4, 13, 56
"e:\study\fourNext\CapstoneProject\textClassification\requirements.txt", "pip requirements", 0, 0, 0, 8, 0, 0, 0, 1, 9
"e:\study\fourNext\CapstoneProject\textClassification\templates\index.html", "HTML", 0, 341, 0, 0, 0, 0, 18, 46, 405
"e:\study\fourNext\CapstoneProject\textClassification\train.py", "Python", 201, 0, 0, 0, 0, 0, 15, 44, 260
"e:\study\fourNext\CapstoneProject\textClassification\train_baseline.py", "Python", 190, 0, 0, 0, 0, 0, 22, 45, 257
"e:\study\fourNext\CapstoneProject\textClassification\utils\QWEN25_back_translation.py", "Python", 90, 0, 0, 0, 0, 0, 6, 16, 112
"e:\study\fourNext\CapstoneProject\textClassification\utils\QWEN3_back_translation.py", "Python", 66, 0, 0, 0, 0, 0, 11, 15, 92
"e:\study\fourNext\CapstoneProject\textClassification\utils\generate_cooccurrence_matrices.py", "Python", 33, 0, 0, 0, 0, 0, 3, 8, 44
"e:\study\fourNext\CapstoneProject\textClassification\utils\hierarchy_processor.py", "Python", 46, 0, 0, 0, 0, 0, 7, 13, 66
"e:\study\fourNext\CapstoneProject\textClassification\utils\opus_back_translation.py", "Python", 56, 0, 0, 0, 0, 0, 7, 13, 76
"e:\study\fourNext\CapstoneProject\textClassification\utils\simbert.py", "Python", 41, 0, 0, 0, 0, 0, 8, 9, 58
"e:\study\fourNext\CapstoneProject\textClassification\utils\test_augmentation.py", "Python", 20, 0, 0, 0, 0, 0, 2, 4, 26
"e:\study\fourNext\CapstoneProject\textClassification\visualization\annot_tree.py", "Python", 117, 0, 0, 0, 0, 0, 14, 23, 154
"e:\study\fourNext\CapstoneProject\textClassification\visualization\area_wordcloud_carousel.html", "HTML", 0, 15815, 0, 0, 0, 0, 0, 3, 15818
"e:\study\fourNext\CapstoneProject\textClassification\visualization\area_wordcloud_carousel.py", "Python", 75, 0, 0, 0, 0, 0, 18, 15, 108
"e:\study\fourNext\CapstoneProject\textClassification\visualization\classification_bars.py", "Python", 60, 0, 0, 0, 0, 0, 3, 14, 77
"e:\study\fourNext\CapstoneProject\textClassification\visualization\classification_tree.json", "JSON", 0, 0, 1466, 0, 0, 0, 0, 0, 1466
"e:\study\fourNext\CapstoneProject\textClassification\visualization\convert_to_json.py", "Python", 36, 0, 0, 0, 0, 0, 6, 11, 53
"e:\study\fourNext\CapstoneProject\textClassification\visualization\create_tree_visualization.py", "Python", 34, 0, 0, 0, 0, 0, 8, 9, 51
"e:\study\fourNext\CapstoneProject\textClassification\visualization\distribution_bars.py", "Python", 27, 0, 0, 0, 0, 0, 6, 8, 41
"e:\study\fourNext\CapstoneProject\textClassification\visualization\district_analysis.html", "HTML", 0, 5087, 0, 0, 0, 0, 0, 10, 5097
"e:\study\fourNext\CapstoneProject\textClassification\visualization\district_analysis.py", "Python", 43, 0, 0, 0, 0, 0, 6, 7, 56
"e:\study\fourNext\CapstoneProject\textClassification\visualization\district_distribution.html", "HTML", 0, 264, 0, 0, 0, 0, 0, 3, 267
"e:\study\fourNext\CapstoneProject\textClassification\visualization\map_visualization.py", "Python", 32, 0, 0, 0, 0, 0, 6, 8, 46
"e:\study\fourNext\CapstoneProject\textClassification\visualization\network_visualization.py", "Python", 178, 0, 0, 0, 0, 0, 13, 22, 213
"e:\study\fourNext\CapstoneProject\textClassification\visualization\region_analysis.py", "Python", 68, 0, 0, 0, 0, 0, 9, 11, 88
"e:\study\fourNext\CapstoneProject\textClassification\visualization\region_class_distribution.html", "HTML", 0, 4164, 0, 0, 0, 0, 0, 13, 4177
"e:\study\fourNext\CapstoneProject\textClassification\visualization\region_distribution.py", "Python", 35, 0, 0, 0, 0, 0, 5, 9, 49
"e:\study\fourNext\CapstoneProject\textClassification\visualization\region_top3_bar.html", "HTML", 0, 342, 0, 0, 0, 0, 0, 3, 345
"e:\study\fourNext\CapstoneProject\textClassification\visualization\region_top3_bar.py", "Python", 29, 0, 0, 0, 0, 0, 5, 6, 40
"e:\study\fourNext\CapstoneProject\textClassification\visualization\region_top5_interactive.html", "HTML", 0, 3098, 0, 0, 0, 0, 0, 3, 3101
"e:\study\fourNext\CapstoneProject\textClassification\visualization\source_analysis.py", "Python", 24, 0, 0, 0, 0, 0, 4, 4, 32
"e:\study\fourNext\CapstoneProject\textClassification\visualization\source_distribution.html", "HTML", 0, 286, 0, 0, 0, 0, 0, 3, 289
"e:\study\fourNext\CapstoneProject\textClassification\visualization\time_analysis.py", "Python", 102, 0, 0, 0, 0, 0, 33, 26, 161
"e:\study\fourNext\CapstoneProject\textClassification\visualization\time_distribution_normalized.html", "HTML", 0, 317, 0, 0, 0, 0, 0, 3, 320
"e:\study\fourNext\CapstoneProject\textClassification\visualization\tree_visualization.html", "HTML", 0, 135, 0, 0, 0, 0, 0, 12, 147
"e:\study\fourNext\CapstoneProject\textClassification\visualization\treemap.html", "HTML", 0, 2021, 0, 0, 0, 0, 0, 3, 2024
"e:\study\fourNext\CapstoneProject\textClassification\visualization\treemap.py", "Python", 56, 0, 0, 0, 0, 0, 4, 9, 69
"e:\study\fourNext\CapstoneProject\textClassification\visualization\wordcloud.html", "HTML", 0, 1526, 0, 0, 0, 0, 0, 3, 1529
"e:\study\fourNext\CapstoneProject\textClassification\visualization\wordcloud_generator.py", "Python", 27, 0, 0, 0, 0, 0, 6, 8, 41
"e:\study\fourNext\CapstoneProject\textClassification\visualization_output\network_visualization.html", "HTML", 0, 74, 0, 0, 0, 0, 0, 4, 78
"Total", "-", 2518, 34251, 2143, 8, 94483, 422, 340, 1047, 135212